CPU counts:  24
gradient ascent n=300, tries=300, d=5, alpha=[0.26675964 0.23859708 0.20663113 0.16871361 0.11929854]
MLE tableau: [44.61763055 44.55152358 44.54673029 44.51288572 44.46313596 19.37576179
 19.33921018 19.31470155 19.27842037] with error 0.0798
EYD tableau: [66, 58, 43, 34, 29, 22, 19, 17, 12] with error 0.1177
MLE tableau: [55.35152358 55.21763055 27.13921018 27.11470155 27.11288572 27.07842037
 27.06313596 26.97576179 26.94673029] with error 0.1219
EYD tableau: [64, 56, 46, 37, 31, 27, 19, 14, 6] with error 0.1144
MLE tableau: [47.11288572 47.01763055 46.95152358 31.27842037 31.26313596 31.14673029
 31.11470155 25.37576179  8.73921018] with error 0.0569
EYD tableau: [65, 56, 44, 39, 33, 25, 17, 11, 10] with error 0.1142
MLE tableau: [44.81763055 44.75152358 40.14673029 40.11288572 40.07842037 40.06313596
 16.73921018 16.71470155 16.57576179] with error 0.0607
EYD tableau: [69, 55, 45, 42, 32, 27, 14, 12, 4] with error 0.1375
MLE tableau: [53.61763055 41.75152358 41.74673029 41.71288572 41.67842037 41.66313596
 15.77576179 15.71470155  6.33921018] with error 0.096
EYD tableau: [57, 55, 49, 38, 36, 24, 20, 13, 8] with error 0.1019
MLE tableau: [40.46313596 40.41763055 40.35152358 40.34673029 40.31288572 40.27842037
 27.11470155 15.37576179 15.33921018] with error 0.0575
EYD tableau: [63, 57, 49, 39, 30, 24, 17, 12, 9] with error 0.1275
MLE tableau: [47.01763055 46.95152358 46.91288572 46.86313596 34.14673029 19.57576179
 19.53921018 19.51470155 19.47842037] with error 0.0731
EYD tableau: [60, 57, 50, 41, 32, 26, 19, 8, 7] with error 0.1275
MLE tableau: [42.14673029 42.11288572 42.07842037 42.06313596 42.01763055 41.95152358
 27.71470155  9.97576179  9.93921018] with error 0.0797
EYD tableau: [67, 56, 44, 39, 31, 28, 16, 12, 7] with error 0.1208
MLE tableau: [50.61763055 40.95152358 40.94673029 40.91288572 40.87842037 40.86313596
 14.97576179 14.93921018 14.91470155] with error 0.0759
EYD tableau: [65, 56, 49, 42, 33, 21, 14, 12, 8] with error 0.1408
MLE tableau: [46.91288572 46.86313596 46.81763055 46.75152358 46.74673029 16.53921018
 16.51470155 16.47842037 16.37576179] with error 0.1015
EYD tableau: [62, 57, 46, 39, 31, 28, 22, 11, 4] with error 0.1142
MLE tableau: [40.07842037 40.06313596 40.01763055 39.95152358 39.94673029 39.91470155
 39.91288572 14.17576179  5.93921018] with error 0.0964
EYD tableau: [65, 56, 47, 37, 36, 24, 16, 11, 8] with error 0.1252
MLE tableau: [44.21763055 44.15152358 44.14673029 44.11288572 44.06313596 34.27842037
 15.11470155 14.97576179 14.93921018] with error 0.0727
EYD tableau: [64, 55, 43, 39, 30, 23, 18, 16, 12] with error 0.1042
MLE tableau: [44.46313596 44.41763055 44.35152358 44.31288572 24.54673029 24.53921018
 24.51470155 24.47842037 24.37576179] with error 0.071
EYD tableau: [77, 56, 43, 37, 31, 24, 14, 12, 6] with error 0.1477
MLE tableau: [70.61763055 37.67842037 37.66313596 37.55152358 37.54673029 37.51288572
 13.91470155 13.77576179 13.73921018] with error 0.1108
EYD tableau: [57, 46, 43, 41, 37, 33, 25, 12, 6] with error 0.0714
MLE tableau: [39.47842037 39.46313596 39.41763055 39.35152358 39.34673029 39.31470155
 39.31288572 13.77576179 10.53921018] with error 0.0884
EYD tableau: [63, 55, 51, 43, 35, 20, 13, 11, 9] with error 0.1417
MLE tableau: [47.51288572 47.46313596 47.41763055 47.35152358 47.34673029 15.77576179
 15.73921018 15.71470155 15.67842037] with error 0.1091
EYD tableau: [68, 53, 39, 36, 29, 27, 22, 15, 11] with error 0.1014
MLE tableau: [58.21763055 45.55152358 28.11470155 28.11288572 28.07842037 28.06313596
 27.97576179 27.94673029 27.93921018] with error 0.1088
EYD tableau: [61, 51, 44, 38, 31, 24, 21, 18, 12] with error 0.0811
MLE tableau: [39.06313596 39.01763055 38.95152358 38.91288572 28.91470155 28.87842037
 28.77576179 28.74673029 28.73921018] with error 0.0756
EYD tableau: [64, 51, 44, 36, 30, 26, 22, 19, 8] with error 0.0911
MLE tableau: [50.01763055 34.06313596 33.97576179 33.95152358 33.94673029 33.91470155
 33.91288572 33.87842037 12.33921018] with error 0.0838
EYD tableau: [65, 53, 44, 39, 36, 27, 16, 12, 8] with error 0.1084
MLE tableau: [42.34673029 42.31288572 42.27842037 42.26313596 42.21763055 42.15152358
 15.53921018 15.51470155 15.37576179] with error 0.0797
EYD tableau: [62, 54, 48, 37, 30, 22, 19, 16, 12] with error 0.1077
MLE tableau: [44.55152358 44.51288572 44.46313596 44.41763055 24.51470155 24.47842037
 24.37576179 24.34673029 24.33921018] with error 0.0715
EYD tableau: [62, 56, 48, 40, 29, 26, 20, 11, 8] with error 0.1208
MLE tableau: [44.66313596 44.61763055 44.55152358 44.51288572 31.71470155 31.67842037
 31.54673029 13.37576179 13.33921018] with error 0.0526
EYD tableau: [62, 54, 46, 35, 28, 28, 22, 15, 10] with error 0.1011
MLE tableau: [45.75152358 45.71288572 45.61763055 27.26313596 27.17576179 27.14673029
 27.13921018 27.11470155 27.07842037] with error 0.0772
EYD tableau: [59, 53, 44, 39, 31, 26, 21, 17, 10] with error 0.0842
MLE tableau: [35.41763055 35.37576179 35.35152358 35.34673029 35.31470155 35.31288572
 35.27842037 35.26313596 17.33921018] with error 0.0942
EYD tableau: [76, 50, 42, 35, 34, 23, 19, 12, 9] with error 0.1211
MLE tableau: [70.01763055 32.91288572 32.87842037 32.86313596 32.75152358 32.74673029
 32.71470155 16.57576179 16.53921018] with error 0.1062
EYD tableau: [70, 49, 48, 40, 28, 20, 18, 15, 12] with error 0.1242
MLE tableau: [59.81763055 42.55152358 42.51288572 42.46313596 22.57576179 22.54673029
 22.53921018 22.51470155 22.47842037] with error 0.0883
EYD tableau: [60, 48, 40, 38, 33, 31, 21, 18, 11] with error 0.0581
MLE tableau: [33.41763055 33.37576179 33.35152358 33.34673029 33.33921018 33.31470155
 33.31288572 33.27842037 33.26313596] with error 0.1255
EYD tableau: [65, 52, 45, 39, 29, 25, 21, 13, 11] with error 0.1042
MLE tableau: [44.41763055 44.35152358 44.31288572 44.26313596 24.57576179 24.54673029
 24.53921018 24.51470155 24.47842037] with error 0.0709
EYD tableau: [64, 51, 48, 37, 31, 30, 21, 10, 8] with error 0.1044
MLE tableau: [39.47842037 39.46313596 39.41763055 39.35152358 39.34673029 39.31470155
 39.31288572 12.17576179 12.13921018] with error 0.0884
EYD tableau: [63, 54, 48, 32, 28, 26, 22, 16, 11] with error 0.1111
MLE tableau: [48.01763055 47.95152358 47.91288572 26.11470155 26.07842037 26.06313596
 25.97576179 25.94673029 25.93921018] with error 0.0886
EYD tableau: [58, 49, 44, 42, 34, 27, 19, 18, 9] with error 0.0775
MLE tableau: [35.77576179 35.75152358 35.74673029 35.71470155 35.71288572 35.67842037
 35.66313596 35.61763055 14.33921018] with error 0.0932
EYD tableau: [63, 53, 41, 39, 31, 28, 21, 16, 8] with error 0.0879
MLE tableau: [47.35152358 34.46313596 34.41763055 34.37576179 34.34673029 34.31470155
 34.31288572 34.27842037 12.13921018] with error 0.0789
EYD tableau: [61, 52, 42, 41, 34, 24, 21, 15, 10] with error 0.0875
MLE tableau: [39.01763055 38.95152358 38.94673029 38.91288572 38.87842037 38.86313596
 22.17576179 22.13921018 22.11470155] with error 0.065
EYD tableau: [64, 51, 44, 36, 34, 29, 19, 15, 8] with error 0.0911
MLE tableau: [47.61763055 36.11288572 36.07842037 36.06313596 35.95152358 35.94673029
 35.91470155 23.57576179 12.73921018] with error 0.0589
EYD tableau: [58, 47, 44, 42, 32, 28, 23, 17, 9] with error 0.0708
MLE tableau: [35.77576179 35.75152358 35.74673029 35.71470155 35.71288572 35.67842037
 35.66313596 35.61763055 14.33921018] with error 0.0932
EYD tableau: [58, 51, 48, 39, 32, 25, 20, 14, 13] with error 0.0875
MLE tableau: [38.11288572 38.07842037 38.06313596 38.01763055 37.95152358 37.94673029
 23.97576179 23.93921018 23.91470155] with error 0.068
EYD tableau: [69, 54, 41, 39, 30, 27, 20, 12, 8] with error 0.1112
MLE tableau: [59.81763055 35.31288572 35.27842037 35.26313596 35.15152358 35.14673029
 35.11470155 14.53921018 14.37576179] with error 0.0862
EYD tableau: [63, 52, 43, 40, 33, 24, 20, 16, 9] with error 0.0942
MLE tableau: [40.95152358 40.94673029 40.91288572 40.86313596 40.81763055 26.27842037
 26.17576179 26.11470155 16.93921018] with error 0.048
EYD tableau: [67, 58, 43, 39, 31, 23, 16, 15, 8] with error 0.1242
MLE tableau: [53.01763055 52.95152358 38.34673029 38.31288572 38.26313596 19.87842037
 19.77576179 19.73921018 19.71470155] with error 0.0778
EYD tableau: [63, 52, 46, 42, 32, 22, 17, 14, 12] with error 0.1108
MLE tableau: [43.41763055 43.35152358 43.34673029 43.31288572 43.26313596 20.91470155
 20.87842037 20.77576179 20.73921018] with error 0.0707
EYD tableau: [70, 53, 44, 35, 32, 23, 21, 16, 6] with error 0.1177
MLE tableau: [62.01763055 32.86313596 32.77576179 32.75152358 32.74673029 32.71470155
 32.71288572 32.67842037  8.73921018] with error 0.1118
EYD tableau: [69, 53, 41, 35, 30, 26, 21, 17, 8] with error 0.1048
MLE tableau: [60.81763055 32.37576179 32.35152358 32.34673029 32.31470155 32.31288572
 32.27842037 32.26313596 12.93921018] with error 0.1036
EYD tableau: [66, 58, 42, 38, 35, 22, 18, 15, 6] with error 0.1152
MLE tableau: [44.46313596 44.41763055 44.35152358 44.34673029 44.31288572 22.91470155
 22.87842037 22.77576179  9.53921018] with error 0.0678
EYD tableau: [68, 54, 48, 33, 28, 26, 20, 13, 10] with error 0.1277
MLE tableau: [51.31288572 51.21763055 51.15152358 24.47842037 24.46313596 24.37576179
 24.34673029 24.33921018 24.31470155] with error 0.1105
EYD tableau: [61, 55, 44, 41, 36, 30, 14, 12, 7] with error 0.1084
MLE tableau: [43.15152358 43.14673029 43.11288572 43.07842037 43.06313596 43.01763055
 13.91470155 13.77576179 13.73921018] with error 0.0909
EYD tableau: [57, 52, 43, 39, 37, 31, 19, 14, 8] with error 0.0784
MLE tableau: [38.46313596 38.41763055 38.35152358 38.34673029 38.31470155 38.31288572
 38.27842037 15.77576179 15.73921018] with error 0.0755
EYD tableau: [67, 51, 50, 40, 30, 24, 19, 14, 5] with error 0.1275
MLE tableau: [46.91288572 46.86313596 46.81763055 46.75152358 26.37576179 26.34673029
 26.31470155 26.27842037  7.33921018] with error 0.073
EYD tableau: [65, 57, 43, 35, 33, 28, 19, 12, 8] with error 0.1111
MLE tableau: [50.75152358 50.61763055 34.06313596 33.94673029 33.91470155 33.91288572
 33.87842037 14.53921018 14.37576179] with error 0.0687
EYD tableau: [64, 53, 45, 44, 33, 30, 13, 11, 7] with error 0.1208
MLE tableau: [43.67842037 43.66313596 43.61763055 43.55152358 43.54673029 43.51288572
 12.91470155 12.77576179 12.73921018] with error 0.0974
EYD tableau: [59, 56, 47, 37, 33, 27, 20, 15, 6] with error 0.1011
MLE tableau: [39.46313596 39.41763055 39.35152358 39.34673029 39.31288572 39.27842037
 27.71470155 27.57576179  8.53921018] with error 0.0682
EYD tableau: [63, 54, 44, 40, 27, 26, 18, 16, 12] with error 0.1042
MLE tableau: [44.21763055 44.15152358 44.11288572 44.06313596 24.74673029 24.73921018
 24.71470155 24.67842037 24.57576179] with error 0.0698
EYD tableau: [67, 61, 41, 38, 30, 26, 20, 13, 4] with error 0.1248
MLE tableau: [57.41763055 57.35152358 30.06313596 29.97576179 29.94673029 29.91470155
 29.91288572 29.87842037  5.53921018] with error 0.117
EYD tableau: [62, 50, 46, 40, 33, 26, 21, 14, 8] with error 0.0942
MLE tableau: [38.35152358 38.34673029 38.31470155 38.31288572 38.27842037 38.26313596
 38.21763055 16.97576179 14.93921018] with error 0.0742
EYD tableau: [63, 50, 45, 42, 30, 24, 23, 15, 8] with error 0.1008
MLE tableau: [39.95152358 39.94673029 39.91288572 39.86313596 39.81763055 29.47842037
 29.37576179 29.31470155 12.33921018] with error 0.0556
EYD tableau: [69, 49, 43, 32, 31, 26, 22, 16, 12] with error 0.0977
MLE tableau: [61.41763055 29.91470155 29.91288572 29.87842037 29.86313596 29.77576179
 29.75152358 29.74673029 29.73921018] with error 0.132
EYD tableau: [62, 51, 50, 42, 28, 24, 20, 14, 9] with error 0.1175
MLE tableau: [46.51288572 46.46313596 46.41763055 46.35152358 22.93921018 22.91470155
 22.87842037 22.77576179 22.74673029] with error 0.0804
EYD tableau: [65, 57, 45, 40, 28, 24, 19, 13, 9] with error 0.1242
MLE tableau: [47.51288572 47.46313596 47.41763055 47.35152358 22.13921018 22.11470155
 22.07842037 21.97576179 21.94673029] with error 0.088
EYD tableau: [65, 55, 45, 34, 33, 26, 20, 15, 7] with error 0.1111
MLE tableau: [50.21763055 50.15152358 31.57576179 31.54673029 31.51470155 31.51288572
 31.47842037 31.46313596 10.53921018] with error 0.081
EYD tableau: [61, 49, 46, 39, 31, 29, 20, 16, 9] with error 0.0842
MLE tableau: [35.77576179 35.75152358 35.74673029 35.71470155 35.71288572 35.67842037
 35.66313596 35.61763055 14.33921018] with error 0.0932
EYD tableau: [72, 52, 44, 40, 32, 23, 16, 13, 8] with error 0.1275
MLE tableau: [64.01763055 37.31288572 37.27842037 37.26313596 37.15152358 37.14673029
 16.71470155 16.57576179 16.53921018] with error 0.0896
EYD tableau: [61, 55, 44, 41, 28, 24, 23, 13, 11] with error 0.1042
MLE tableau: [44.21763055 44.15152358 44.11288572 44.06313596 24.74673029 24.73921018
 24.71470155 24.67842037 24.57576179] with error 0.0698
EYD tableau: [60, 55, 44, 38, 32, 28, 19, 17, 7] with error 0.0911
MLE tableau: [37.41763055 37.35152358 37.34673029 37.31470155 37.31288572 37.26313596
 32.97576179 32.87842037 10.13921018] with error 0.0857
EYD tableau: [59, 52, 50, 41, 30, 25, 19, 14, 10] with error 0.1075
MLE tableau: [42.35152358 42.34673029 42.31288572 42.26313596 42.21763055 22.17576179
 22.13921018 22.11470155 22.07842037] with error 0.0652
EYD tableau: [64, 57, 45, 42, 28, 25, 19, 12, 8] with error 0.1275
MLE tableau: [47.46313596 47.41763055 47.35152358 47.31288572 25.91470155 25.87842037
 25.74673029 16.53921018 16.37576179] with error 0.0688
EYD tableau: [63, 56, 43, 40, 31, 26, 21, 13, 7] with error 0.1075
MLE tableau: [42.61763055 42.55152358 42.51288572 36.11470155 36.07842037 36.06313596
 35.94673029 15.37576179 12.73921018] with error 0.0558
EYD tableau: [70, 54, 44, 37, 30, 25, 18, 14, 8] with error 0.1211
MLE tableau: [61.21763055 41.15152358 35.31288572 35.27842037 35.26313596 35.14673029
 18.93921018 18.91470155 18.77576179] with error 0.0747
EYD tableau: [69, 51, 44, 40, 33, 25, 22, 10, 6] with error 0.1142
MLE tableau: [58.61763055 36.74673029 36.71470155 36.71288572 36.67842037 36.66313596
 36.55152358 10.73921018 10.57576179] with error 0.0972
EYD tableau: [62, 57, 47, 34, 33, 28, 17, 12, 10] with error 0.1144
MLE tableau: [41.41763055 41.35152358 41.34673029 41.31288572 41.27842037 41.26313596
 17.37576179 17.33921018 17.31470155] with error 0.0733
EYD tableau: [61, 49, 47, 39, 31, 28, 24, 11, 10] with error 0.0875
MLE tableau: [38.67842037 38.66313596 38.61763055 38.55152358 38.54673029 38.51470155
 38.51288572 14.97576179 14.93921018] with error 0.0777
EYD tableau: [58, 52, 51, 39, 34, 24, 19, 16, 7] with error 0.1008
MLE tableau: [41.35152358 41.34673029 41.31288572 41.26313596 41.21763055 27.71470155
 27.67842037 27.57576179 10.53921018] with error 0.0541
EYD tableau: [64, 56, 42, 36, 31, 27, 19, 15, 10] with error 0.1011
MLE tableau: [51.55152358 51.41763055 29.31470155 29.31288572 29.27842037 29.26313596
 29.17576179 29.14673029 21.53921018] with error 0.0928
EYD tableau: [67, 52, 44, 40, 31, 25, 19, 13, 9] with error 0.1108
MLE tableau: [55.21763055 37.55152358 37.54673029 37.51288572 37.47842037 37.46313596
 19.13921018 19.11470155 18.97576179] with error 0.0705
EYD tableau: [57, 51, 45, 40, 35, 27, 21, 14, 10] with error 0.0784
MLE tableau: [37.66313596 37.61763055 37.55152358 37.54673029 37.51470155 37.51288572
 37.47842037 18.57576179 18.53921018] with error 0.0759
EYD tableau: [67, 56, 40, 37, 30, 28, 17, 14, 11] with error 0.1081
MLE tableau: [54.55152358 54.41763055 27.34673029 27.33921018 27.31470155 27.31288572
 27.27842037 27.26313596 27.17576179] with error 0.119
EYD tableau: [64, 54, 46, 39, 29, 23, 19, 15, 11] with error 0.1108
MLE tableau: [45.51288572 45.46313596 45.41763055 45.35152358 23.73921018 23.71470155
 23.67842037 23.57576179 23.54673029] with error 0.0757
EYD tableau: [56, 51, 44, 37, 36, 29, 18, 17, 12] with error 0.0686
MLE tableau: [34.51288572 34.47842037 34.46313596 34.41763055 34.35152358 34.34673029
 34.33921018 34.31470155 24.77576179] with error 0.1076
EYD tableau: [57, 49, 44, 42, 31, 26, 21, 18, 12] with error 0.0742
MLE tableau: [33.41763055 33.37576179 33.35152358 33.34673029 33.33921018 33.31470155
 33.31288572 33.27842037 33.26313596] with error 0.1255
EYD tableau: [65, 47, 44, 37, 32, 29, 22, 16, 8] with error 0.0811
MLE tableau: [52.61763055 33.67842037 33.66313596 33.57576179 33.55152358 33.54673029
 33.51470155 33.51288572 12.33921018] with error 0.0887
EYD tableau: [63, 60, 41, 38, 35, 20, 18, 14, 11] with error 0.1089
MLE tableau: [44.26313596 44.21763055 44.15152358 44.14673029 44.11288572 19.87842037
 19.77576179 19.73921018 19.71470155] with error 0.0764
EYD tableau: [62, 51, 45, 40, 34, 23, 18, 15, 12] with error 0.0942
MLE tableau: [41.86313596 41.81763055 41.75152358 41.74673029 41.71288572 22.87842037
 22.77576179 22.73921018 22.71470155] with error 0.0641
EYD tableau: [67, 56, 46, 41, 31, 23, 17, 11, 8] with error 0.1342
MLE tableau: [45.71288572 45.66313596 45.61763055 45.55152358 45.54673029 18.07842037
 17.97576179 17.93921018 17.91470155] with error 0.0896
EYD tableau: [64, 56, 47, 37, 30, 23, 18, 14, 11] with error 0.1177
MLE tableau: [46.21763055 46.15152358 46.11288572 46.06313596 23.14673029 23.13921018
 23.11470155 23.07842037 22.97576179] with error 0.0791
EYD tableau: [71, 54, 44, 36, 33, 23, 16, 15, 8] with error 0.1244
MLE tableau: [62.21763055 39.54673029 39.51288572 39.46313596 39.35152358 20.07842037
 19.97576179 19.93921018 19.91470155] with error 0.0866
EYD tableau: [76, 55, 49, 36, 26, 22, 17, 13, 6] with error 0.1611
MLE tableau: [68.21763055 47.15152358 47.11288572 38.06313596 22.17576179 22.14673029
 22.11470155 22.07842037 10.93921018] with error 0.103
EYD tableau: [60, 51, 43, 36, 34, 27, 26, 13, 10] with error 0.0744
MLE tableau: [37.95152358 37.94673029 37.91470155 37.91288572 37.87842037 37.86313596
 37.81763055 17.37576179 17.33921018] with error 0.0754
EYD tableau: [64, 55, 48, 41, 30, 24, 16, 13, 9] with error 0.1275
MLE tableau: [44.71288572 44.66313596 44.61763055 44.55152358 44.54673029 19.31470155
 19.27842037 19.17576179 19.13921018] with error 0.0803
EYD tableau: [62, 55, 47, 39, 30, 23, 19, 16, 9] with error 0.1108
MLE tableau: [45.55152358 45.51288572 45.46313596 45.41763055 23.71470155 23.67842037
 23.57576179 23.54673029 23.53921018] with error 0.0761
EYD tableau: [68, 50, 47, 38, 34, 23, 17, 14, 9] with error 0.1111
MLE tableau: [53.81763055 41.55152358 41.54673029 41.51288572 41.46313596 20.11470155
 20.07842037 19.97576179 19.93921018] with error 0.074
EYD tableau: [69, 53, 48, 34, 29, 25, 21, 12, 9] with error 0.1277
MLE tableau: [51.15152358 51.11288572 51.01763055 25.71470155 25.67842037 25.66313596
 25.54673029 25.53921018 18.57576179] with error 0.094
EYD tableau: [62, 50, 42, 40, 31, 26, 21, 19, 9] with error 0.0808
MLE tableau: [35.77576179 35.75152358 35.74673029 35.71470155 35.71288572 35.67842037
 35.66313596 35.61763055 14.33921018] with error 0.0932
EYD tableau: [62, 53, 43, 38, 33, 27, 19, 16, 9] with error 0.0877
MLE tableau: [39.06313596 39.01763055 38.95152358 38.94673029 38.91288572 38.87842037
 25.11470155 24.97576179 16.13921018] with error 0.0548
EYD tableau: [64, 56, 49, 35, 30, 23, 19, 15, 9] with error 0.1244
MLE tableau: [50.71288572 50.61763055 50.55152358 24.74673029 24.73921018 24.71470155
 24.67842037 24.66313596 24.57576179] with error 0.1064
EYD tableau: [64, 53, 47, 42, 30, 26, 17, 14, 7] with error 0.1208
MLE tableau: [41.75152358 41.74673029 41.71288572 41.67842037 41.66313596 41.61763055
 16.71470155 16.57576179 16.53921018] with error 0.0756
EYD tableau: [64, 51, 45, 38, 28, 25, 22, 18, 9] with error 0.0944
MLE tableau: [51.21763055 33.47842037 33.46313596 33.37576179 33.35152358 33.34673029
 33.31470155 33.31288572 15.13921018] with error 0.082
EYD tableau: [63, 55, 50, 37, 30, 27, 18, 12, 8] with error 0.1211
MLE tableau: [41.75152358 41.74673029 41.71288572 41.67842037 41.66313596 41.61763055
 16.71470155 16.57576179 16.53921018] with error 0.0756
EYD tableau: [63, 53, 45, 40, 34, 24, 19, 12, 10] with error 0.1042
MLE tableau: [43.46313596 43.41763055 43.35152358 43.34673029 43.31288572 20.87842037
 20.77576179 20.73921018 20.71470155] with error 0.0709
EYD tableau: [64, 53, 41, 37, 36, 25, 21, 16, 7] with error 0.0923
MLE tableau: [50.01763055 34.31470155 34.31288572 34.27842037 34.26313596 34.17576179
 34.15152358 34.14673029 10.33921018] with error 0.0864
EYD tableau: [64, 51, 47, 40, 35, 24, 19, 13, 7] with error 0.1084
MLE tableau: [41.34673029 41.31288572 41.27842037 41.26313596 41.21763055 41.15152358
 20.31470155 20.17576179 11.93921018] with error 0.0664
EYD tableau: [61, 57, 44, 35, 29, 24, 21, 18, 11] with error 0.1011
MLE tableau: [46.01763055 45.95152358 45.91288572 27.11470155 27.07842037 27.06313596
 26.97576179 26.94673029 26.93921018] with error 0.0774
EYD tableau: [63, 53, 45, 40, 29, 26, 22, 17, 5] with error 0.1042
MLE tableau: [43.01763055 42.95152358 34.57576179 34.54673029 34.51470155 34.51288572
 34.47842037 34.46313596  6.93921018] with error 0.0783
EYD tableau: [60, 53, 45, 40, 35, 25, 18, 16, 8] with error 0.095
MLE tableau: [40.06313596 40.01763055 39.95152358 39.94673029 39.91288572 39.87842037
 23.17576179 23.11470155 13.93921018] with error 0.0566
EYD tableau: [71, 57, 45, 39, 27, 25, 14, 14, 8] with error 0.1408
MLE tableau: [58.81763055 46.26313596 46.15152358 46.11288572 20.57576179 20.54673029
 20.53921018 20.51470155 20.47842037] with error 0.1085
EYD tableau: [63, 55, 48, 42, 33, 23, 16, 11, 9] with error 0.1275
MLE tableau: [45.66313596 45.61763055 45.55152358 45.54673029 45.51288572 18.11470155
 18.07842037 17.97576179 17.93921018] with error 0.0892
EYD tableau: [70, 51, 42, 35, 30, 25, 23, 16, 8] with error 0.1044
MLE tableau: [62.21763055 32.17576179 32.15152358 32.14673029 32.11470155 32.11288572
 32.07842037 32.06313596 12.93921018] with error 0.1063
EYD tableau: [63, 54, 48, 36, 26, 25, 21, 16, 11] with error 0.1111
MLE tableau: [48.11288572 48.01763055 47.95152358 26.07842037 26.06313596 25.97576179
 25.94673029 25.93921018 25.91470155] with error 0.0891
EYD tableau: [66, 55, 47, 38, 30, 24, 19, 14, 7] with error 0.1211
MLE tableau: [46.51288572 46.46313596 46.41763055 46.35152358 25.74673029 25.71470155
 25.67842037 25.57576179 11.53921018] with error 0.0657
EYD tableau: [63, 57, 43, 39, 30, 25, 18, 18, 7] with error 0.1075
MLE tableau: [46.11288572 46.01763055 45.95152358 30.34673029 30.31470155 30.27842037
 30.26313596 30.17576179 10.53921018] with error 0.0615
EYD tableau: [62, 53, 44, 39, 35, 27, 19, 14, 7] with error 0.095
MLE tableau: [40.55152358 40.54673029 40.51288572 40.47842037 40.46313596 40.41763055
 22.97576179 22.91470155 11.13921018] with error 0.0614
EYD tableau: [58, 53, 45, 37, 35, 27, 21, 14, 10] with error 0.0819
MLE tableau: [37.66313596 37.61763055 37.55152358 37.54673029 37.51470155 37.51288572
 37.47842037 18.57576179 18.53921018] with error 0.0759
EYD tableau: [64, 58, 41, 38, 31, 26, 21, 17, 4] with error 0.1048
MLE tableau: [51.01763055 50.95152358 32.14673029 32.11470155 32.11288572 32.07842037
 32.06313596 31.97576179  5.53921018] with error 0.0918
EYD tableau: [68, 55, 42, 39, 32, 26, 16, 11, 11] with error 0.1142
MLE tableau: [56.61763055 38.51288572 38.47842037 38.46313596 38.35152358 38.34673029
 17.13921018 17.11470155 16.97576179] with error 0.0757
EYD tableau: [64, 62, 47, 33, 28, 23, 20, 16, 7] with error 0.1377
MLE tableau: [52.51288572 52.41763055 52.35152358 26.14673029 26.11470155 26.07842037
 26.06313596 25.97576179 12.33921018] with error 0.0987
EYD tableau: [63, 56, 51, 35, 33, 23, 18, 13, 8] with error 0.1277
MLE tableau: [44.66313596 44.61763055 44.55152358 44.54673029 44.51288572 19.33921018
 19.31470155 19.27842037 19.17576179] with error 0.08
EYD tableau: [61, 54, 42, 35, 31, 27, 21, 15, 14] with error 0.0844
MLE tableau: [45.35152358 45.21763055 29.97576179 29.94673029 29.93921018 29.91470155
 29.91288572 29.87842037 29.86313596] with error 0.0883
EYD tableau: [63, 60, 47, 40, 26, 25, 21, 9, 9] with error 0.1342
MLE tableau: [47.86313596 47.81763055 47.75152358 47.71288572 27.47842037 27.34673029
 27.31470155 13.37576179 13.33921018] with error 0.0727
EYD tableau: [64, 56, 43, 37, 31, 28, 17, 16, 8] with error 0.1044
MLE tableau: [50.41763055 50.35152358 31.11470155 31.11288572 31.07842037 31.06313596
 30.97576179 30.94673029 12.93921018] with error 0.0774
EYD tableau: [70, 57, 47, 36, 25, 23, 20, 15, 7] with error 0.1411
MLE tableau: [53.11288572 53.01763055 52.95152358 25.74673029 25.71470155 25.67842037
 25.66313596 25.57576179 12.53921018] with error 0.1033
EYD tableau: [73, 56, 46, 37, 27, 24, 21, 12, 4] with error 0.1444
MLE tableau: [63.81763055 46.75152358 46.71288572 27.47842037 27.46313596 27.37576179
 27.34673029 27.31470155  5.73921018] with error 0.1046
EYD tableau: [72, 63, 46, 35, 30, 27, 15, 8, 4] with error 0.1644
MLE tableau: [61.21763055 61.15152358 35.66313596 35.54673029 35.51288572 35.47842037
 18.71470155  8.37576179  8.33921018] with error 0.1232
EYD tableau: [73, 45, 41, 38, 29, 23, 22, 17, 12] with error 0.0914
MLE tableau: [66.81763055 29.26313596 29.17576179 29.15152358 29.14673029 29.13921018
 29.11470155 29.11288572 29.07842037] with error 0.1436
EYD tableau: [61, 56, 46, 37, 27, 26, 19, 15, 13] with error 0.1044
MLE tableau: [43.81763055 43.75152358 43.71288572 43.66313596 25.11470155 25.07842037
 24.97576179 24.94673029 24.93921018] with error 0.0686
EYD tableau: [60, 53, 48, 41, 35, 21, 18, 14, 10] with error 0.1084
MLE tableau: [44.21763055 44.15152358 44.14673029 44.11288572 44.06313596 19.91470155
 19.87842037 19.77576179 19.73921018] with error 0.076
EYD tableau: [62, 52, 42, 38, 35, 27, 22, 17, 5] with error 0.0819
MLE tableau: [36.74673029 36.71470155 36.71288572 36.67842037 36.66313596 36.61763055
 36.57576179 36.55152358  6.73921018] with error 0.1056
EYD tableau: [60, 53, 46, 40, 32, 25, 20, 13, 11] with error 0.0975
MLE tableau: [39.71288572 39.67842037 39.66313596 39.61763055 39.55152358 39.54673029
