CPU counts:  24
gradient ascent n=300, tries=300, d=5, alpha=[0.26675964 0.23859708 0.20663113 0.16871361 0.11929854]
MLE tableau: [81.42789265 81.37912322 62.58933909 47.41408342 27.18956161] with error 0.0393
EYD tableau: [86, 70, 60, 50, 34] with error 0.0199
MLE tableau: [64.82789265 64.81408342 64.78933909 64.77912322 40.78956161] with error 0.0732
EYD tableau: [95, 78, 53, 42, 32] with error 0.0713
MLE tableau: [83.02789265 82.97912322 44.78933909 44.61408342 44.58956161] with error 0.0773
EYD tableau: [92, 70, 68, 43, 27] with error 0.0599
MLE tableau: [74.38933909 74.37912322 74.22789265 45.61408342 31.38956161] with error 0.0501
EYD tableau: [90, 76, 65, 43, 26] with error 0.058
MLE tableau: [74.78933909 74.77912322 74.62789265 46.01408342 29.78956161] with error 0.0528
EYD tableau: [86, 74, 62, 47, 31] with error 0.028
MLE tableau: [69.57912322 69.42789265 69.38933909 55.61408342 35.98956161] with error 0.042
EYD tableau: [92, 73, 62, 44, 29] with error 0.0447
MLE tableau: [73.02789265 72.98933909 72.97912322 46.61408342 34.38956161] with error 0.0413
EYD tableau: [96, 71, 57, 47, 29] with error 0.0532
MLE tableau: [89.62789265 58.98933909 58.97912322 58.81408342 33.58956161] with error 0.0593
EYD tableau: [90, 71, 57, 49, 33] with error 0.0332
MLE tableau: [80.62789265 59.81408342 59.78933909 59.77912322 39.98956161] with error 0.0466
EYD tableau: [96, 72, 60, 39, 33] with error 0.0546
MLE tableau: [88.62789265 65.78933909 65.77912322 39.98956161 39.81408342] with error 0.0547
EYD tableau: [97, 72, 61, 44, 26] with error 0.058
MLE tableau: [90.02789265 65.18933909 65.17912322 50.01408342 29.58956161] with error 0.044
EYD tableau: [89, 75, 56, 44, 36] with error 0.042
MLE tableau: [76.82789265 76.77912322 48.81408342 48.78956161 48.78933909] with error 0.0607
EYD tableau: [92, 73, 54, 46, 35] with error 0.0446
MLE tableau: [80.22789265 74.77912322 48.38956161 48.38933909 48.21408342] with error 0.0527
EYD tableau: [82, 79, 63, 49, 27] with error 0.0347
MLE tableau: [67.57912322 67.42789265 67.41408342 67.38933909 30.18956161] with error 0.074
EYD tableau: [99, 78, 51, 49, 23] with error 0.0846
MLE tableau: [88.62789265 80.97912322 52.38933909 52.21408342 25.78956161] with error 0.0653
EYD tableau: [79, 71, 61, 57, 32] with error 0.0213
MLE tableau: [65.78933909 65.77912322 65.62789265 65.61408342 37.18956161] with error 0.0668
EYD tableau: [92, 84, 56, 37, 31] with error 0.0813
MLE tableau: [84.42789265 84.37912322 55.78933909 37.78956161 37.61408342] with error 0.0634
EYD tableau: [93, 68, 58, 50, 31] with error 0.0432
MLE tableau: [85.42789265 59.38933909 59.37912322 59.21408342 36.58956161] with error 0.0493
EYD tableau: [95, 69, 57, 44, 35] with error 0.0499
MLE tableau: [89.02789265 57.18933909 57.17912322 48.38956161 48.21408342] with error 0.0714
EYD tableau: [95, 80, 57, 51, 17] with error 0.0793
MLE tableau: [82.37912322 82.22789265 58.41408342 58.38933909 18.58956161] with error 0.0693
EYD tableau: [86, 75, 66, 45, 28] with error 0.0447
MLE tableau: [72.82789265 72.78933909 72.77912322 49.41408342 32.18956161] with error 0.04
EYD tableau: [102, 75, 53, 40, 30] with error 0.0846
MLE tableau: [96.22789265 73.97912322 46.78933909 41.58956161 41.41408342] with error 0.0807
EYD tableau: [89, 81, 60, 45, 25] with error 0.0613
MLE tableau: [79.17912322 79.02789265 61.98933909 51.61408342 28.18956161] with error 0.0282
EYD tableau: [86, 70, 66, 48, 30] with error 0.0333
MLE tableau: [66.57912322 66.42789265 66.41408342 66.38933909 34.18956161] with error 0.0673
EYD tableau: [93, 69, 56, 49, 33] with error 0.0432
MLE tableau: [86.02789265 57.61408342 57.58933909 57.57912322 41.18956161] with error 0.0612
EYD tableau: [95, 75, 61, 45, 24] with error 0.0613
MLE tableau: [85.62789265 68.37912322 68.18933909 51.01408342 26.78956161] with error 0.0407
EYD tableau: [94, 80, 56, 42, 28] with error 0.0746
MLE tableau: [83.37912322 83.22789265 50.98933909 49.21408342 33.18956161] with error 0.05
EYD tableau: [100, 79, 55, 41, 25] with error 0.0913
MLE tableau: [88.22789265 84.37912322 49.38933909 49.21408342 28.78956161] with error 0.07
EYD tableau: [102, 70, 53, 45, 30] with error 0.0732
MLE tableau: [97.42789265 61.57912322 52.21408342 52.18933909 36.58956161] with error 0.0659
EYD tableau: [90, 70, 62, 48, 30] with error 0.0333
MLE tableau: [78.62789265 62.37912322 62.21408342 62.18933909 34.58956161] with error 0.0393
EYD tableau: [89, 71, 61, 49, 30] with error 0.0299
MLE tableau: [74.82789265 63.61408342 63.58933909 63.57912322 34.38956161] with error 0.0486
EYD tableau: [85, 78, 61, 41, 35] with error 0.038
MLE tableau: [71.82789265 71.78933909 71.77912322 42.38956161 42.21408342] with error 0.0547
EYD tableau: [88, 72, 61, 45, 34] with error 0.028
MLE tableau: [70.22789265 70.18933909 70.17912322 44.78956161 44.61408342] with error 0.0567
EYD tableau: [91, 64, 62, 51, 32] with error 0.0379
MLE tableau: [82.02789265 60.01408342 59.98933909 59.97912322 37.98956161] with error 0.0452
EYD tableau: [93, 76, 63, 42, 26] with error 0.0613
MLE tableau: [75.37912322 75.22789265 75.18933909 44.01408342 30.18956161] with error 0.0562
EYD tableau: [91, 69, 62, 42, 36] with error 0.0373
MLE tableau: [80.62789265 65.18933909 65.17912322 44.58956161 44.41408342] with error 0.0414
EYD tableau: [95, 72, 66, 43, 24] with error 0.0647
MLE tableau: [75.58933909 75.57912322 75.42789265 46.41408342 26.98956161] with error 0.0581
EYD tableau: [89, 77, 55, 50, 29] with error 0.048
MLE tableau: [76.77912322 76.62789265 56.61408342 56.58933909 33.38956161] with error 0.0367
EYD tableau: [85, 75, 60, 45, 35] with error 0.028
MLE tableau: [69.62789265 69.58933909 69.57912322 45.61408342 45.58956161] with error 0.058
EYD tableau: [91, 74, 59, 47, 29] with error 0.0446
MLE tableau: [75.97912322 75.82789265 57.41408342 57.38933909 33.38956161] with error 0.0367
EYD tableau: [93, 79, 55, 47, 26] with error 0.068
MLE tableau: [81.62789265 81.57912322 53.61408342 53.58933909 29.58956161] with error 0.0486
EYD tableau: [103, 79, 56, 36, 26] with error 0.1013
MLE tableau: [95.62789265 79.77912322 57.18933909 33.78956161 33.61408342] with error 0.0793
EYD tableau: [98, 72, 67, 33, 30] with error 0.078
MLE tableau: [88.62789265 71.78933909 71.77912322 33.98956161 33.81408342] with error 0.062
EYD tableau: [97, 68, 59, 46, 30] with error 0.0566
MLE tableau: [91.22789265 57.81408342 57.78933909 57.77912322 35.38956161] with error 0.0612
EYD tableau: [96, 86, 56, 36, 26] with error 0.1013
MLE tableau: [87.97912322 87.82789265 56.78933909 33.78956161 33.61408342] with error 0.0807
EYD tableau: [103, 71, 55, 41, 30] with error 0.0766
MLE tableau: [98.42789265 63.57912322 57.98933909 40.01408342 39.98956161] with error 0.0753
EYD tableau: [89, 71, 59, 48, 33] with error 0.0299
MLE tableau: [78.22789265 60.78933909 60.77912322 60.61408342 39.58956161] with error 0.046
EYD tableau: [82, 81, 60, 46, 31] with error 0.038
MLE tableau: [70.82789265 70.78933909 70.77912322 50.81408342 36.78956161] with error 0.0333
EYD tableau: [95, 70, 63, 46, 26] with error 0.0533
MLE tableau: [87.62789265 61.17912322 61.01408342 60.98933909 29.18956161] with error 0.0599
EYD tableau: [84, 70, 60, 50, 36] with error 0.0139
MLE tableau: [63.62789265 63.61408342 63.58933909 63.57912322 45.58956161] with error 0.0812
EYD tableau: [88, 71, 69, 45, 27] with error 0.0499
MLE tableau: [73.22789265 73.18933909 73.17912322 49.61408342 30.78956161] with error 0.0427
EYD tableau: [94, 71, 61, 42, 32] with error 0.0466
MLE tableau: [85.62789265 65.98933909 65.97912322 41.21408342 41.18956161] with error 0.05
EYD tableau: [95, 68, 57, 46, 34] with error 0.0499
MLE tableau: [89.02789265 55.01408342 54.98933909 54.97912322 45.98956161] with error 0.0786
EYD tableau: [97, 70, 53, 48, 32] with error 0.0566
MLE tableau: [91.42789265 56.38933909 56.37912322 56.21408342 39.58956161] with error 0.0693
EYD tableau: [89, 70, 60, 47, 34] with error 0.0299
MLE tableau: [78.82789265 59.81408342 59.78933909 59.77912322 41.78956161] with error 0.0506
EYD tableau: [91, 76, 55, 41, 37] with error 0.0553
MLE tableau: [79.02789265 78.97912322 47.38956161 47.38933909 47.21408342] with error 0.0627
EYD tableau: [90, 77, 56, 42, 35] with error 0.0513
MLE tableau: [79.02789265 78.97912322 47.38956161 47.38933909 47.21408342] with error 0.0627
EYD tableau: [89, 68, 58, 52, 33] with error 0.0345
MLE tableau: [77.62789265 60.98933909 60.97912322 60.81408342 39.58956161] with error 0.0467
EYD tableau: [90, 68, 62, 49, 31] with error 0.0333
MLE tableau: [79.22789265 61.61408342 61.58933909 61.57912322 35.98956161] with error 0.0372
EYD tableau: [102, 67, 50, 44, 37] with error 0.0773
MLE tableau: [97.62789265 50.61408342 50.58956161 50.58933909 50.57912322] with error 0.108
EYD tableau: [89, 76, 56, 45, 34] with error 0.0446
MLE tableau: [77.62789265 77.57912322 48.38933909 48.21408342 48.18956161] with error 0.0613
EYD tableau: [91, 70, 66, 46, 27] with error 0.0499
MLE tableau: [72.42789265 72.38933909 72.37912322 52.21408342 30.58956161] with error 0.0427
EYD tableau: [94, 79, 55, 44, 28] with error 0.0713
MLE tableau: [82.62789265 82.57912322 50.98933909 50.81408342 32.98956161] with error 0.046
EYD tableau: [94, 68, 54, 51, 33] with error 0.0479
MLE tableau: [87.42789265 56.98933909 56.97912322 56.81408342 41.78956161] with error 0.0653
EYD tableau: [79, 72, 64, 56, 29] with error 0.0261
MLE tableau: [66.82789265 66.81408342 66.78933909 66.77912322 32.78956161] with error 0.0699
EYD tableau: [92, 68, 63, 43, 34] with error 0.0433
MLE tableau: [82.62789265 64.98933909 64.97912322 43.78956161 43.61408342] with error 0.0447
EYD tableau: [90, 68, 65, 40, 37] with error 0.0473
MLE tableau: [71.38933909 71.37912322 71.22789265 43.01408342 42.98956161] with error 0.0548
EYD tableau: [97, 80, 58, 38, 27] with error 0.0846
MLE tableau: [84.62789265 84.57912322 59.98933909 35.41408342 35.38956161] with error 0.0587
EYD tableau: [90, 71, 58, 50, 31] with error 0.0332
MLE tableau: [79.42789265 61.58933909 61.57912322 61.41408342 35.98956161] with error 0.0367
EYD tableau: [95, 80, 58, 41, 26] with error 0.078
MLE tableau: [83.42789265 83.37912322 58.98933909 43.81408342 30.38956161] with error 0.0507
EYD tableau: [98, 74, 63, 33, 32] with error 0.0713
MLE tableau: [89.82789265 69.97912322 69.78933909 35.21408342 35.18956161] with error 0.0587
EYD tableau: [76, 73, 63, 50, 38] with error 0.0155
MLE tableau: [60.02789265 60.01408342 59.98956161 59.98933909 59.97912322] with error 0.1119
EYD tableau: [92, 71, 59, 48, 30] with error 0.0399
MLE tableau: [83.42789265 60.61408342 60.58933909 60.57912322 34.78956161] with error 0.0446
EYD tableau: [99, 69, 63, 44, 25] with error 0.0666
MLE tableau: [93.02789265 63.18933909 63.17912322 52.41408342 28.18956161] with error 0.0533
EYD tableau: [84, 76, 69, 45, 26] with error 0.0513
MLE tableau: [73.62789265 73.58933909 73.57912322 49.81408342 29.38956161] with error 0.0453
EYD tableau: [89, 77, 63, 48, 23] with error 0.0513
MLE tableau: [72.42789265 72.38933909 72.37912322 57.41408342 25.38956161] with error 0.06
EYD tableau: [88, 77, 57, 42, 36] with error 0.0453
MLE tableau: [77.62789265 77.57912322 48.38933909 48.21408342 48.18956161] with error 0.0613
EYD tableau: [87, 75, 57, 48, 33] with error 0.0346
MLE tableau: [73.82789265 73.77912322 56.01408342 55.98933909 40.38956161] with error 0.0406
EYD tableau: [85, 79, 62, 45, 29] with error 0.0413
MLE tableau: [72.42789265 72.38933909 72.37912322 49.01408342 33.78956161] with error 0.0373
