CPU counts:  24
gradient ascent n=100, tries=300, d=3, alpha=[0.41773767 0.34108138 0.24118095]
EYD tableau: [45, 34, 21] with error 0.0323
MLE tableau: [37.70813774 37.57376677 24.71809549] with error 0.0407
EYD tableau: [38, 37, 25] with error 0.0377
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [49, 29, 22] with error 0.0723
MLE tableau: [46.17376677 26.91809549 26.90813774] with error 0.0719
EYD tableau: [46, 33, 21] with error 0.0423
MLE tableau: [37.70813774 37.57376677 24.71809549] with error 0.0407
EYD tableau: [40, 35, 25] with error 0.0177
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [47, 37, 16] with error 0.0812
MLE tableau: [41.30813774 41.17376677 17.51809549] with error 0.0707
EYD tableau: [42, 32, 26] with error 0.0211
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [43, 31, 26] with error 0.0311
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [46, 34, 20] with error 0.0423
MLE tableau: [38.57376677 38.50813774 22.91809549] with error 0.044
EYD tableau: [46, 31, 23] with error 0.0423
MLE tableau: [41.17376677 29.50813774 29.31809549] with error 0.052
EYD tableau: [45, 31, 24] with error 0.0323
MLE tableau: [37.97376677 31.10813774 30.91809549] with error 0.068
EYD tableau: [50, 30, 20] with error 0.0823
MLE tableau: [47.57376677 26.30813774 26.11809549] with error 0.078
EYD tableau: [45, 36, 19] with error 0.0512
MLE tableau: [39.37376677 39.30813774 21.31809549] with error 0.052
EYD tableau: [52, 28, 20] with error 0.1023
MLE tableau: [49.97376677 25.10813774 24.91809549] with error 0.09
EYD tableau: [47, 33, 20] with error 0.0523
MLE tableau: [41.17376677 35.70813774 23.11809549] with error 0.016
EYD tableau: [51, 33, 16] with error 0.0923
MLE tableau: [47.77376677 34.50813774 17.71809549] with error 0.064
EYD tableau: [45, 34, 21] with error 0.0323
MLE tableau: [37.70813774 37.57376677 24.71809549] with error 0.0407
EYD tableau: [49, 32, 19] with error 0.0723
MLE tableau: [45.77376677 32.30813774 21.91809549] with error 0.04
EYD tableau: [48, 32, 20] with error 0.0623
MLE tableau: [44.37376677 31.70813774 23.91809549] with error 0.026
EYD tableau: [46, 38, 16] with error 0.0812
MLE tableau: [41.30813774 41.17376677 17.51809549] with error 0.0707
EYD tableau: [39, 38, 23] with error 0.0389
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [50, 30, 20] with error 0.0823
MLE tableau: [47.57376677 26.30813774 26.11809549] with error 0.078
EYD tableau: [47, 34, 19] with error 0.0523
MLE tableau: [39.37376677 39.30813774 21.31809549] with error 0.052
EYD tableau: [43, 37, 20] with error 0.0412
MLE tableau: [38.57376677 38.50813774 22.91809549] with error 0.044
EYD tableau: [42, 32, 26] with error 0.0211
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [46, 28, 26] with error 0.0611
MLE tableau: [40.97376677 29.51809549 29.50813774] with error 0.0539
EYD tableau: [52, 30, 18] with error 0.1023
MLE tableau: [49.97376677 28.70813774 21.31809549] with error 0.082
EYD tableau: [44, 36, 20] with error 0.0412
MLE tableau: [38.57376677 38.50813774 22.91809549] with error 0.044
EYD tableau: [43, 36, 21] with error 0.0312
MLE tableau: [37.57376677 37.50813774 24.91809549] with error 0.042
EYD tableau: [46, 35, 19] with error 0.0512
MLE tableau: [39.37376677 39.30813774 21.31809549] with error 0.052
EYD tableau: [49, 31, 20] with error 0.0723
MLE tableau: [46.17376677 27.90813774 25.91809549] with error 0.062
EYD tableau: [51, 36, 13] with error 0.1112
MLE tableau: [43.77376677 42.30813774 13.91809549] with error 0.102
EYD tableau: [44, 36, 20] with error 0.0412
MLE tableau: [38.57376677 38.50813774 22.91809549] with error 0.044
EYD tableau: [50, 31, 19] with error 0.0823
MLE tableau: [47.37376677 29.90813774 22.71809549] with error 0.056
EYD tableau: [41, 38, 21] with error 0.0389
MLE tableau: [37.57376677 37.50813774 24.91809549] with error 0.042
EYD tableau: [46, 40, 14] with error 0.1012
MLE tableau: [42.50813774 42.37376677 15.11809549] with error 0.09
EYD tableau: [48, 30, 22] with error 0.0623
