CPU counts:  24
n=120, tol=120, tries=150, dist_try=0.5, d=3, alpha=[0.41773767 0.34108138 0.24118095]
EYD tableau: [45, 40, 35] with error 0.0505
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [56, 40, 24] with error 0.0489
MLE tableau: [50. 43. 27.] with error 0.0173
EYD tableau: [52, 45, 23] with error 0.0495
MLE tableau: [48. 47. 25.] with error 0.0506
EYD tableau: [50, 38, 32] with error 0.0255
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [51, 43, 26] with error 0.0245
MLE tableau: [45. 45. 30.] with error 0.0427
EYD tableau: [57, 37, 26] with error 0.0573
MLE tableau: [54. 33. 33.] with error 0.0661
EYD tableau: [62, 36, 22] with error 0.0989
MLE tableau: [60. 35. 25.] with error 0.0823
EYD tableau: [60, 34, 26] with error 0.0823
MLE tableau: [58. 31. 31.] with error 0.0827
EYD tableau: [57, 45, 18] with error 0.0912
MLE tableau: [51. 50. 19.] with error 0.0828
EYD tableau: [57, 48, 15] with error 0.1162
MLE tableau: [52. 52. 16.] with error 0.1078
EYD tableau: [51, 45, 24] with error 0.0412
MLE tableau: [47. 46. 27.] with error 0.0423
EYD tableau: [55, 45, 20] with error 0.0745
MLE tableau: [49. 49. 22.] with error 0.0673
EYD tableau: [50, 39, 31] with error 0.0172
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [55, 44, 21] with error 0.0662
MLE tableau: [49. 48. 23.] with error 0.0589
EYD tableau: [53, 38, 29] with error 0.0244
MLE tableau: [46. 37. 37.] with error 0.0672
EYD tableau: [55, 38, 27] with error 0.0406
MLE tableau: [51. 35. 34.] with error 0.0494
EYD tableau: [48, 44, 28] with error 0.0256
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [52, 44, 24] with error 0.0412
MLE tableau: [47. 46. 27.] with error 0.0423
EYD tableau: [56, 39, 25] with error 0.0489
MLE tableau: [52. 39. 29.] with error 0.0161
EYD tableau: [51, 39, 30] with error 0.0161
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [49, 40, 31] with error 0.0172
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [54, 44, 22] with error 0.0578
MLE tableau: [48. 48. 24.] with error 0.0589
EYD tableau: [58, 38, 24] with error 0.0656
MLE tableau: [55. 37. 28.] with error 0.0406
EYD tableau: [50, 43, 27] with error 0.0173
MLE tableau: [44. 44. 32.] with error 0.0511
EYD tableau: [56, 44, 20] with error 0.0745
MLE tableau: [49. 49. 22.] with error 0.0673
EYD tableau: [59, 35, 26] with error 0.0739
MLE tableau: [56. 32. 32.] with error 0.0744
EYD tableau: [62, 34, 24] with error 0.0989
MLE tableau: [60. 30. 30.] with error 0.0911
EYD tableau: [56, 47, 17] with error 0.0995
MLE tableau: [51. 51. 18.] with error 0.0912
EYD tableau: [62, 32, 26] with error 0.0989
MLE tableau: [60. 30. 30.] with error 0.0911
EYD tableau: [58, 35, 27] with error 0.0656
MLE tableau: [55. 33. 32.] with error 0.0661
EYD tableau: [57, 38, 25] with error 0.0573
MLE tableau: [54. 36. 30.] with error 0.0411
EYD tableau: [57, 40, 23] with error 0.0573
MLE tableau: [52. 43. 25.] with error 0.0328
EYD tableau: [45, 42, 33] with error 0.0427
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [56, 41, 23] with error 0.0495
MLE tableau: [48. 47. 25.] with error 0.0506
EYD tableau: [57, 39, 24] with error 0.0573
MLE tableau: [53. 40. 27.] with error 0.0239
EYD tableau: [58, 42, 20] with error 0.0745
MLE tableau: [50. 48. 22.] with error 0.0589
EYD tableau: [53, 45, 22] with error 0.0578
MLE tableau: [48. 48. 24.] with error 0.0589
